pmid	object_type	object_id	object_name	origin
14529615	promoter	RDBECOLIPMC00001	spyp	
16861804	promoter	RDBECOLIPMC00001	spyp	
9068658	promoter	RDBECOLIPMC00001	spyp	
14529615	promoter	RDBECOLIPMC00002	yfeKp	
16336047	promoter	RDBECOLIPMC00002	yfeKp	
14529615	promoter	RDBECOLIPMC00003	bepAp1	
16336047	promoter	RDBECOLIPMC00003	bepAp1	
31992590	promoter	RDBECOLIPMC00003	bepAp1	note
14529615	promoter	RDBECOLIPMC00004	bamBp	
16336047	promoter	RDBECOLIPMC00004	bamBp	
3520484	promoter	RDBECOLIPMC00005	recCp	
14529615	promoter	RDBECOLIPMC00006	infAp2	
16405963	promoter	RDBECOLIPMC00006	infAp2	
1909328	promoter	RDBECOLIPMC00006	infAp2	
1909328	promoter	RDBECOLIPMC00006	infAp2	note
14529615	promoter	RDBECOLIPMC00007	infAp1	
16405963	promoter	RDBECOLIPMC00007	infAp1	
1909328	promoter	RDBECOLIPMC00007	infAp1	
16405963	promoter	RDBECOLIPMC00007	infAp1	note
14529615	promoter	RDBECOLIPMC00008	bamDp2	
16336047	promoter	RDBECOLIPMC00008	bamDp2	
31992590	promoter	RDBECOLIPMC00008	bamDp2	note
14529615	promoter	RDBECOLIPMC00009	dsbCp2	
16336047	promoter	RDBECOLIPMC00009	dsbCp2	
31992590	promoter	RDBECOLIPMC00009	dsbCp2	note
14529615	promoter	RDBECOLIPMC00010	ygiMp2	
16336047	promoter	RDBECOLIPMC00010	ygiMp2	
14529615	promoter	RDBECOLIPMC00011	qseBp1	
16194231	promoter	RDBECOLIPMC00011	qseBp1	
14529615	promoter	RDBECOLIPMC00012	dolPp2	
16336047	promoter	RDBECOLIPMC00012	dolPp2	
14529615	promoter	RDBECOLIPMC00013	greAp2	
16336047	promoter	RDBECOLIPMC00013	greAp2	
20008510	promoter	RDBECOLIPMC00013	greAp2	
16336047	promoter	RDBECOLIPMC00013	greAp2	note
20008510	promoter	RDBECOLIPMC00013	greAp2	note
14529615	promoter	RDBECOLIPMC00014	lptBp	
16336047	promoter	RDBECOLIPMC00014	lptBp	
14529615	promoter	RDBECOLIPMC00015	flgAp	
15941987	promoter	RDBECOLIPMC00015	flgAp	
14529615	promoter	RDBECOLIPMC00016	flgBp	
15941987	promoter	RDBECOLIPMC00016	flgBp	
15941987	promoter	RDBECOLIPMC00017	yecRp	
15941987	promoter	RDBECOLIPMC00018	yejOp	
7961507	promoter	RDBECOLIPMC00019	flhBp	
14529615	promoter	RDBECOLIPMC00020	fliFp2	
1551848	promoter	RDBECOLIPMC00020	fliFp2	
11520622	promoter	RDBECOLIPMC00020	fliFp2	note
1551848	promoter	RDBECOLIPMC00020	fliFp2	note
16855242	promoter	RDBECOLIPMC00020	fliFp2	note
16997971	promoter	RDBECOLIPMC00020	fliFp2	note
14529615	promoter	RDBECOLIPMC00021	fliEp1	
15941987	promoter	RDBECOLIPMC00021	fliEp1	
27186988	promoter	RDBECOLIPMC00021	fliEp1	note
14529615	promoter	RDBECOLIPMC00022	fliFp1	
15941987	promoter	RDBECOLIPMC00022	fliFp1	
32076637	promoter	RDBECOLIPMC00022	fliFp1	note
14529615	promoter	RDBECOLIPMC00023	gltIp1	
15941987	promoter	RDBECOLIPMC00023	gltIp1	
14529615	promoter	RDBECOLIPMC00024	malQp	
16336047	promoter	RDBECOLIPMC00024	malQp	
14529615	promoter	RDBECOLIPMC00025	yhjJp	
16336047	promoter	RDBECOLIPMC00025	yhjJp	
31992590	promoter	RDBECOLIPMC00025	yhjJp	note
14529615	promoter	RDBECOLIPMC00026	yieEp	
16336047	promoter	RDBECOLIPMC00026	yieEp	
14529615	promoter	RDBECOLIPMC00027	plsBp1	
16336047	promoter	RDBECOLIPMC00027	plsBp1	
21463370	promoter	RDBECOLIPMC00027	plsBp1	
31992590	promoter	RDBECOLIPMC00027	plsBp1	note
14529615	promoter	RDBECOLIPMC00028	essDp	
16336047	promoter	RDBECOLIPMC00028	essDp	
25998262	promoter	RDBECOLIPMC00028	essDp	
14529615	promoter	RDBECOLIPMC00029	rutRp1	
16336047	promoter	RDBECOLIPMC00029	rutRp1	
14529615	promoter	RDBECOLIPMC00030	narWp	
16336047	promoter	RDBECOLIPMC00030	narWp	
14529615	promoter	RDBECOLIPMC00031	ydhIp	
16336047	promoter	RDBECOLIPMC00031	ydhIp	
31992590	promoter	RDBECOLIPMC00031	ydhIp	note
14529615	promoter	RDBECOLIPMC00032	lhrp	
16336047	promoter	RDBECOLIPMC00032	lhrp	
14529615	promoter	RDBECOLIPMC00033	rnlBp1	
16336047	promoter	RDBECOLIPMC00033	rnlBp1	
31992590	promoter	RDBECOLIPMC00033	rnlBp1	note
14529615	promoter	RDBECOLIPMC00034	gspAp4	
16336047	promoter	RDBECOLIPMC00034	gspAp4	
14529615	promoter	RDBECOLIPMC00035	yicJp	
16336047	promoter	RDBECOLIPMC00035	yicJp	
14529615	promoter	RDBECOLIPMC00036	ahpFp	
16336047	promoter	RDBECOLIPMC00036	ahpFp	
14529615	promoter	RDBECOLIPMC00037	ftnBp1	
16336047	promoter	RDBECOLIPMC00037	ftnBp1	
16428390	promoter	RDBECOLIPMC00038	ytfEp	
16428390	promoter	RDBECOLIPMC00039	ygbAp	
16428390	promoter	RDBECOLIPMC00040	tehAp	
19838305	promoter	RDBECOLIPMC00041	ybjQp	
19838305	promoter	RDBECOLIPMC00042	ltaEp	
19838305	promoter	RDBECOLIPMC00043	ybjXp	
19838305	promoter	RDBECOLIPMC00044	trxBp	
19838305	promoter	RDBECOLIPMC00045	serSp	
19838305	promoter	RDBECOLIPMC00046	ycbJp	
19838305	promoter	RDBECOLIPMC00047	ldtDp	
19838305	promoter	RDBECOLIPMC00048	mepKp	
19838305	promoter	RDBECOLIPMC00049	asnSp	
19838305	promoter	RDBECOLIPMC00050	pepNp	
19838305	promoter	RDBECOLIPMC00051	matPp	
19838305	promoter	RDBECOLIPMC00052	mgsAp	
19838305	promoter	RDBECOLIPMC00053	wrbAp	
19838305	promoter	RDBECOLIPMC00054	clsCp	
28582517	promoter	RDBECOLIPMC00054	clsCp	
19838305	promoter	RDBECOLIPMC00055	solAp	
19838305	promoter	RDBECOLIPMC00056	bssSp	
21398637	promoter	RDBECOLIPMC00056	bssSp	
19838305	promoter	RDBECOLIPMC00057	rnep4	
19838305	promoter	RDBECOLIPMC00058	rpmFp	
19838305	promoter	RDBECOLIPMC00059	iraMp1	
19838305	promoter	RDBECOLIPMC00060	bluRp	
22783906	promoter	RDBECOLIPMC00060	bluRp	
19838305	promoter	RDBECOLIPMC00061	ycgLp	
19838305	promoter	RDBECOLIPMC00062	fadRp2	
19838305	promoter	RDBECOLIPMC00063	ycgBp	
19838305	promoter	RDBECOLIPMC00064	ychJp	
8226647	promoter	RDBECOLIPMC00064	ychJp	
19838305	promoter	RDBECOLIPMC00065	yciIp	
19838305	promoter	RDBECOLIPMC00066	yciVp	
19838305	promoter	RDBECOLIPMC00067	acnAp3	
19838305	promoter	RDBECOLIPMC00068	fabIp1	
19838305	promoter	RDBECOLIPMC00069	puuDp	
22522900	promoter	RDBECOLIPMC00069	puuDp	
19838305	promoter	RDBECOLIPMC00070	ycjGp	
19838305	promoter	RDBECOLIPMC00071	ynaIp	
19838305	promoter	RDBECOLIPMC00072	uspEp	
19838305	promoter	RDBECOLIPMC00073	zntBp	
19838305	promoter	RDBECOLIPMC00074	uspFp	
19838305	promoter	RDBECOLIPMC00075	trgp	
